group,delta_pearson,delta_mse,group_size
band_power_metrics,0.18933866670435734,0.15269338499955815,885
peak_frequency,0.012421116517048659,0.012082279555867825,59
aperiodic_1f_slope,0.11720364771250821,0.09958872739731073,59
burst_rate,-0.0798138432612813,-0.06411305120912525,59
burst_duration,0.043222643142470596,0.031222740266222605,59
plv,0.0023161119360870066,0.0009993178654781332,6
aec,-0.010884817897742668,-0.009256740749486991,5
